"Method" "power" "error" "r"
"ar_sample_cor" 1 0.0518 -0.99
"ar_sample_cor" 1 0.0512 -0.949591836734694
"ar_sample_cor" 1 0.0514 -0.909183673469388
"ar_sample_cor" 1 0.0493 -0.868775510204082
"ar_sample_cor" 1 0.052 -0.828367346938776
"ar_sample_cor" 1 0.0513 -0.787959183673469
"ar_sample_cor" 1 0.0497 -0.747551020408163
"ar_sample_cor" 1 0.0492 -0.707142857142857
"ar_sample_cor" 1 0.0504 -0.666734693877551
"ar_sample_cor" 1 0.0474 -0.626326530612245
"ar_sample_cor" 1 0.0486 -0.585918367346939
"ar_sample_cor" 1 0.0529 -0.545510204081633
"ar_sample_cor" 1 0.0517 -0.505102040816326
"ar_sample_cor" 1 0.0477 -0.46469387755102
"ar_sample_cor" 0.9999 0.0525 -0.424285714285714
"ar_sample_cor" 0.9999 0.0519 -0.383877551020408
"ar_sample_cor" 0.9999 0.0494 -0.343469387755102
"ar_sample_cor" 0.9998 0.0502 -0.303061224489796
"ar_sample_cor" 0.9998 0.0501 -0.26265306122449
"ar_sample_cor" 0.9998 0.0502 -0.222244897959184
"ar_sample_cor" 0.9998 0.0555 -0.181836734693878
"ar_sample_cor" 0.9999 0.0472 -0.141428571428571
"ar_sample_cor" 0.9997 0.0509 -0.101020408163265
"ar_sample_cor" 0.9996 0.0537 -0.0606122448979592
"ar_sample_cor" 0.9999 0.0488 -0.0202040816326531
"ar_sample_cor" 0.9997 0.0521 0
"ar_sample_cor" 0.9998 0.0488 0.020204081632653
"ar_sample_cor" 0.9999 0.0513 0.0606122448979591
"ar_sample_cor" 0.9996 0.0506 0.101020408163265
"ar_sample_cor" 0.9996 0.0522 0.141428571428571
"ar_sample_cor" 0.9996 0.0533 0.181836734693878
"ar_sample_cor" 0.9999 0.0513 0.222244897959184
"ar_sample_cor" 0.9998 0.051 0.26265306122449
"ar_sample_cor" 0.9999 0.0453 0.303061224489796
"ar_sample_cor" 0.9997 0.0501 0.343469387755102
"ar_sample_cor" 0.9998 0.0518 0.383877551020408
"ar_sample_cor" 0.9999 0.0512 0.424285714285714
"ar_sample_cor" 0.9999 0.0557 0.46469387755102
"ar_sample_cor" 0.9999 0.0539 0.505102040816326
"ar_sample_cor" 1 0.053 0.545510204081633
"ar_sample_cor" 1 0.0494 0.585918367346939
"ar_sample_cor" 1 0.0559 0.626326530612245
"ar_sample_cor" 1 0.0524 0.666734693877551
"ar_sample_cor" 1 0.0491 0.707142857142857
"ar_sample_cor" 1 0.0483 0.747551020408163
"ar_sample_cor" 1 0.0553 0.787959183673469
"ar_sample_cor" 1 0.0524 0.828367346938776
"ar_sample_cor" 1 0.0552 0.868775510204082
"ar_sample_cor" 1 0.0535 0.909183673469388
"ar_sample_cor" 1 0.0536 0.949591836734694
"ar_sample_cor" 1 0.053 0.99
"ar_pop_cor" 1 0.0499 -0.99
"ar_pop_cor" 1 0.0498 -0.949591836734694
"ar_pop_cor" 1 0.0488 -0.909183673469388
"ar_pop_cor" 1 0.0459 -0.868775510204082
"ar_pop_cor" 1 0.0503 -0.828367346938776
"ar_pop_cor" 1 0.0485 -0.787959183673469
"ar_pop_cor" 1 0.0492 -0.747551020408163
"ar_pop_cor" 1 0.0469 -0.707142857142857
"ar_pop_cor" 1 0.0468 -0.666734693877551
"ar_pop_cor" 1 0.0468 -0.626326530612245
